id|description|vrs|statusCode|status|fromDate|toDate|materialId|materialCode|material
1684|Esp. 1510 OF|001|VI|ESP. VIGENTE|Wed Feb 06 2008 16:46:04 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1247|E0005O|1502 OFF VISUAL
1685|Esp. 1510 LM OFF|001|VI|ESP. VIGENTE|Wed Feb 06 2008 16:46:04 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1249|E0058O|1510 LM OFF VISUAL
1683|Esp. 1510 OF|001|VI|ESP. VIGENTE|Wed Feb 06 2008 16:46:04 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1248|E0007O|1510 OFF VISUAL
1687|Esp. 1712 OFF|001|VI|ESP. VIGENTE|Wed Feb 06 2008 16:46:04 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1251|E1712O|1712 OFF VISUAL
1686|Esp. 1721 OFF|001|VI|ESP. VIGENTE|Wed Feb 06 2008 16:46:04 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1250|E0016O|1721 OFF VISUAL
1765|Esp. 1712 LP-YOFF|001|VI|ESP. VIGENTE|Wed Sep 16 2009 16:46:04 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1280|E0086O|1793 OFF VISUAL
217|Esp. ABSORBEDORA ANHIDRIDO CARBONICO|E0/R0|VI|ESP. VIGENTE|Mon Jan 01 1900 00:00:00 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|237|CP105|ABSORB. ANHID. CARBONICO
1296|Esp. ACEITE|R000|VI|ESP. VIGENTE|Wed Aug 21 2002 12:35:23 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1110|CP708|ACEITE
1805|Aceite Extendedor Bajo PCA|01|VE|ESP. VENCIDA|Thu Dec 09 2010 10:21:25 GMT+0000 (hora universal coordinada)|Thu Dec 13 2018 10:20:25 GMT+0000 (hora universal coordinada)|1295|S1076462|ACEITE EXTENDEDOR BAJO PCA
2182|Aceite Extendedor Bajo PCA|3|VI|ESP. VIGENTE|Thu Dec 13 2018 10:21:25 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1295|S1076462|ACEITE EXTENDEDOR BAJO PCA
1501|Esp. ACETONA|R001|VI|ESP. VIGENTE|Mon Sep 27 2004 09:02:57 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1190|236-24-92-04031|ACETONA
91|Esp. ACRILONITRILO|E0/R7|VE|ESP. VENCIDA|Thu Feb 01 1996 00:00:00 GMT+0000 (hora universal coordinada)|Mon Aug 31 2015 23:59:00 GMT+0000 (hora universal coordinada)|1|RM1120|ACRILONITRILO
1998|Esp. ACRILONITRILO|E0/R8|VI|ESP. VIGENTE|Tue Sep 01 2015 00:00:00 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|1|RM1120|ACRILONITRILO
196|Esp. ACRN DILUIDO|E0/R0|VE|ESP. VENCIDA|Mon Jan 01 1900 00:00:00 GMT+0000 (hora universal coordinada)|Tue Jun 01 1999 23:59:00 GMT+0000 (hora universal coordinada)|196|CPD13|ACRN DIL.
468|Esp. ACRN DILUIDO|E1/R01|VI|ESP. VIGENTE|Wed Jun 02 1999 00:00:00 GMT+0000 (hora universal coordinada)|Sat Nov 30 2999 00:00:00 GMT+0000 (hora universal coordinada)|196|CPD13|ACRN DIL.
1702|Esp. AGUA CIMA DESPOJADORA|001|VE|ESP. VENCIDA|Mon Mar 31 2008 12:40:18 GMT+0000 (hora universal coordinada)|Tue Jul 11 2017 12:39:18 GMT+0000 (hora universal coordinada)|1264|CP427|AGUA CIMA DESPOJADORA
