id|code|description|typeCode|type|batchRequired|batchRefRequired|batchMask|batchRefMask
1|RM1120|ACRILONITRILO|M.PRIM|MATERIA PRIMA|false|false| | 
2|MP1001|BENCENO|M.PRIM|MATERIA PRIMA|false|false| | 
4|MP1115|ETILBENCENO|M.PRIM|MATERIA PRIMA|false|false| | 
50|RM1110.3|NAFTA VIRGEN DE INTERFASE|M.PRIM|MATERIA PRIMA|true|false|####| 
51|RM1110.2|NAFTA VIRGEN DE YPF|M.PRIM|MATERIA PRIMA|true|true|####|TK###
52|RM1110.1|NAFTA VIRGEN DE REF. SAN LORENZO|M.PRIM|MATERIA PRIMA|false|false| | 
53|MP1105|PROPANO|M.PRIM|MATERIA PRIMA|false|false| |ESF###
54|RM1168|TETRALENE (M. PRIM)|M.PRIM|MATERIA PRIMA|false|false| | 
108|H2021|BASE OCTANICA|P.TERM|PROD. TERMINADO|false|false|####|TK###
109|H0100|BENCENO GRADO NITRACION|P.TERM|PROD. TERMINADO|true|true|####|NULL
110|H0121|GAS LICUADO DE PETROLEO|P.TERM|PROD. TERMINADO|true|true|####| 
111|H0110.|CORTE HIDROCARBURO PARAF.|P.TERM|PROD. TERMINADO|false|false|####| 
112|H0137|CORTE AROMATICO|P.TERM|PROD. TERMINADO|true|true| | 
113|H0151|ESTIRENO MONOMERO|P.TERM|PROD. TERMINADO|false|false||***###
114|H0202|HEXANO|P.TERM|PROD. TERMINADO|true|true|####|??*###
115|H0111|HIGH FLASH LIVIANO|P.TERM|PROD. TERMINADO|true|true|####| 
116|H2019|MOTOGASOLINA NORMAL RSL|P.TERM|PROD. TERMINADO|true|true|####|TK###
117|H0112|MOTOGASOLINA SUPER YPF|P.TERM|PROD. TERMINADO|false|true|####|TK###
118|H0114|NAFTA PARAFINICA|P.TERM|PROD. TERMINADO|false|true|####|TK###
119|H0116|PROPANO-PROPILENO|P.TERM|PROD. TERMINADO|true|false|#####|
120|H0115|PROPELENTE PARA AEROSOL|P.TERM|PROD. TERMINADO|true|true|####|
121|H0101|TOLUENO GRADO NITRACION|P.TERM|PROD. TERMINADO|true|false|####| 
123|H0152|PENTAMIX|P.TERM|PROD. TERMINADO|false|false|####|NULL
125|CP001|BTD / MEZCLADO|PROCESO|PROD. EN PROCESO|false|false|####|TK###
126|CP270|BTD/ RECICLO|PROCESO|PROD. EN PROCESO|false|false|####|TK###
127|CP002|STY/ MEZCLADO|PROCESO|PROD. EN PROCESO|false|true| |TK###
128|CP269|STY/ RECICLO|PROCESO|PROD. EN PROCESO|false|true| |TK###
129|CP003|LAVADOR CAUST. ARPOL|PROCESO|PROD. EN PROCESO|false|false| |D###
131|CP005|Rx.Final Cont.EPA120-1712 A|PROCESO|PROD. EN PROCESO|true|true|####|R###
132|CP006|Rx.Final Cont.EPA110-1502|PROCESO|PROD. EN PROCESO|true|true|####|R###
133|CP007|Rx.Final Cont.EPA111-1510|PROCESO|PROD. EN PROCESO|true|true|####|R###
136|CP010|Rx.Final Cont.EPA130-1721|PROCESO|PROD. EN PROCESO|true|true|####|R###
137|CP011|Rx.Final Batch EPA910-BJLT|PROCESO|PROD. EN PROCESO|true|true|####|R###
138|CP012|Rx.Final Batch EPA911-BJLT M40|PROCESO|PROD. EN PROCESO|true|true|####|R###
141|CP015|Rx.Final Batch EPA914-BLT|PROCESO|PROD. EN PROCESO|true|true|####|R###
142|CP016|Rx.Final Batch EPA920-CJLT|PROCESO|PROD. EN PROCESO|true|true|####|R###
145|CP019|Col. Desp. Cont. EPA220-1502|PROCESO|PROD. EN PROCESO|false|true| |T###
146|CP020|Col. Desp. Cont. EPA220-1510|PROCESO|PROD. EN PROCESO|false|true| |T###
147|CP021|Col. Desp. Cont. EPA220-1510 LM|PROCESO|PROD. EN PROCESO|false|true| |T###
149|CP023|Col. Desp. Cont. EPA220-1721|PROCESO|PROD. EN PROCESO|false|true| |T###
150|CP024|Desp. Batch. EPA910-BJLT|PROCESO|PROD. EN PROCESO|true|true|###|T###
152|CP026|Desp. Batch. EPA912- BJLT M50|PROCESO|PROD. EN PROCESO|true|true|###|T###
153|CP027|Desp. Batch. EPA913-BJJLT|PROCESO|PROD. EN PROCESO|true|true|###|T###
154|CP028|Desp. Batch. EPA914-BLT|PROCESO|PROD. EN PROCESO|true|true|###|T###
156|CP030|Desp. Batch. EPA921-CLT|PROCESO|PROD. EN PROCESO|true|true|###|T###
157|CP031|TK LATEX ARPOL 1712 A|PROCESO|PROD. EN PROCESO|false|true| |TK###
158|CP032|TK LATEX ARPOL 1502|PROCESO|PROD. EN PROCESO|false|true| |TK###
160|CP034|TK LATEX ARPOL 1510 LM|PROCESO|PROD. EN PROCESO|false|true| |TK###
161|CP035|TK LATEX ARPOL 1913|PROCESO|PROD. EN PROCESO|false|true|NULL|TK###
162|CP036|TK LATEX ARPOL 1721|PROCESO|PROD. EN PROCESO|false|true| |TK###
164|CP038|TK LATEX ARNIPOL BJLT M40|PROCESO|PROD. EN PROCESO|false|true| |TK###
166|CP040|TK LATEX ARNIPOL BJJLT|PROCESO|PROD. EN PROCESO|false|true| |TK###
167|CP041|TK LATEX ARNIPOL BLT|PROCESO|PROD. EN PROCESO|false|true| |TK###
168|CP042|TK LATEX ARNIPOL CJLT|PROCESO|PROD. EN PROCESO|false|true| |TK###
169|CP043|TK LATEX ARNIPOL CLT|PROCESO|PROD. EN PROCESO|false|true| |TK###
170|CP044|SALMUERA SDA FILTRO|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
171|CP045|SALMUERA PIL. TRATADA|PROCESO|PROD. EN PROCESO|false|false| | 
172|CP046|Rec.0010/0011: Jab½n KR|PROCESO|PROD. EN PROCESO|true|true|###|TK###
174|CP048|Rec.4000: Activ SBR|PROCESO|PROD. EN PROCESO|true|true|###|TK###
176|CP050|Rec.6001: Aox mezcla TNPP/Irg1520|PROCESO|PROD. EN PROCESO|true|true|###|TK###
177|CP051|Rec.0301: Soluc. Acelerante|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
195|CP069|LAVADO BTD ARNIPOL|PROCESO|PROD. EN PROCESO|false|true|NULL|D###
196|CPD13|ACRN DIL.|PROCESO|PROD. EN PROCESO|false|false||
197|CP070|Rx.Inter. Cont.EPA120-1712|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
198|CP071|Rx.Inter. Cont.EPA110-1502|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
200|CP073|Rx.Inter. Cont.EPA112-1510 LM|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
201|CP074|Rx.Inter. Cont.EPA130-1721|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
203|CP076|Rx.Inter. Cont.EPA150-BJLT|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
205|CP078|Rx.Inter. Batch EPA912-BJLT M50|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
206|CP079|Rx.Inter. Batch EPA913-BJJLT|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
207|CP080|Rx.Inter. Batch EPA914-BLT|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
208|CP081|Rx.Inter. Batch EPA920-CJLT|PROCESO|PROD. EN PROCESO|false|false|NULL|NULL
