id|sequence|description|type|rootId|rootCode|taskId|taskCode|specificationId
2521|1|Benceno.(ID3644)|DETE|-1|*|33|001Benceno.(ID3644)|0
6|1|Anhidrido carbonico|DETE|-1|*|432|Anhidrido carbonico|3
7|2|Monoxido de carbono.(PASA360)|DETE|-1|*|431|Monoxido de carbono.(PASA360)|3
8|3|Oxigeno en nitrogeno|DETE|-1|*|430|Oxigeno en nitrogeno|3
9|4|Pureza en nitrogeno|DETE|-1|*|429|Pureza en nitrogeno|3
10|5|Acido sulfurico|DETE|-1|*|398|Acido sulfurico|4
11|6|Densidad.(PASA128)|DETE|-1|*|401|Densidad.(PASA128)|5
12|7|Conc. de amina|DETE|-1|*|402|Conc. de amina|6
13|8|Ind. Refracc. en Aminas|DETE|-1|*|400|Ind. Refracc. en Aminas|6
14|9|Color PtCo|DETE|-1|*|59|Color PtCo|7
15|10|Dioxido de azufre.(PASA430)|DETE|-1|*|438|Dioxido de azufre.(PASA430)|7
16|11|Residuos por evap.|DETE|-1|*|440|Residuos por evap.|7
17|12|Sulfuro de hidrogeno.|DETE|-1|*|439|Sulfuro de hidrogeno.|7
18|13|Hidroxido de calcio|DETE|-1|*|404|Hidroxido de calcio|8
19|14|Cloro libre|DETE|-1|*|437|Cloro libre|9
20|15|Destil. punto final.(PASA129)|DETE|-1|*|421|02Destil. punto final.(PASA129)|10
21|16|Destil. recup.10% (PASA129)|DETE|-1|*|420|01Destil. recup.10% (PASA129)|10
22|17|Pto. de inflam.n vaso cerrado|DETE|-1|*|170|Pto. de inflam.n vaso cerrado|10
23|18|Recuperacion|DETE|-1|*|422|03Recuperacion|10
24|19|Pureza de monoetanolamina|DETE|-1|*|426|Pureza de monoetanolamina|11
25|20|Agua en solv.(ID3539)|DETE|-1|*|34|Agua en solv.(ID3539)|12
26|21|Color PtCo|DETE|-1|*|59|Color PtCo|12
27|22|Rango destil. (Incluye 64.6 C)(ID3612)|DETE|-1|*|424|Rango destil. (Incluye 64.6 C)|12
3327|3|pH al 1%  p/v de sol.(PASA409)|DETE|-1|*|936|pH al 1%  p/v de sol.(PASA409)|13
2300|5|Humedad (100-105 C)-ID3411|DETE|-1|*|744|Humedad (100-105 C)-ID3411|13
29|24|Carbonato en nitrito de sodio|DETE|-1|*|428|Carbonato en nitrito de sodio|13
32|27|Pureza de nitrito de sodio|DETE|-1|*|427|Pureza de nitrito de sodio|13
2329|5|Hierro (como Fe)|DETE|-1|*|749|Hierro (como Fe)|14
33|28|Carbonato de sodioPASA074)|DETE|-1|*|435|Carbonato de sodio|14
34|29|Cloruro en soda caustica|DETE|-1|*|436|Cloruro en soda caustica|14
35|30|Color ASTM D1500|DETE|-1|*|205|Color ASTM D1500|14
36|31|Hidroxido de sodio|DETE|-1|*|434|Hidroxido de sodio|14
37|32|Acidez.(PASA435)|DETE|-1|*|444|Acidez.(PASA435)|15
38|33|Agua.(PASA028)|DETE|-1|*|443|Agua.(PASA028)|15
39|34|Color PtCo|DETE|-1|*|59|Color PtCo|15
40|35|Destil. primera gota.(ID3612)|DETE|-1|*|67|Destil. primera gota.(ID3612)|15
41|36|Destil. punto seco.(ID3612)|DETE|-1|*|68|Destil. punto seco.(ID3612)|15
42|37|Destil. 5 ml.(ID3612)|DETE|-1|*|441|Destil. 5 ml.(ID3612)|15
43|38|Destil. 95 ml.(ID3612)|DETE|-1|*|442|Destil. 95 ml.(ID3612)|15
44|39|Gravedad esp.15.6/15.6C(ID3650)|DETE|-1|*|183|Gravedad esp.15.6/15.6C(ID3650)|15
45|40|Agua en solv.(ID3539)|DETE|-1|*|34|Agua en solv.(ID3539)|16
46|41|Azufre tot.TRACOR ATLAS gas|DETE|-1|*|55|Azufre tot.TRACOR ATLAS gas|16
47|42|Color PtCo|DETE|-1|*|59|Color PtCo|16
48|43|Gravedad esp.15.6/15.6C(ID3650)|DETE|-1|*|183|Gravedad esp.15.6/15.6C(ID3650)|16
49|44|Rango destil. (Incluye 87.1 C)(ID3612)|DETE|-1|*|450|Rango destil. (Incluye 87.1 C)|16
51|46|Densidad.(PASA128)|DETE|-1|*|401|Densidad.(PASA128)|17
52|47|Pureza de agua oxig.|DETE|-1|*|399|Pureza de agua oxig.|18
53|48|Solidos (100-105 C).ID3411|DETE|-1|*|228|Solidos (100-105 C).ID3411|19
54|49|pH al 2% en antiesp.(PASA405)|DETE|-1|*|403|pH al 2% en antiesp.(PASA405)|19
55|50|Num. de acido (ac.organico)|DETE|-1|*|207|Num. de acido (ac.organico)|20
56|51|Num. de Iodo|DETE|-1|*|212|Num. de Iodo|20
57|52|Titulo de ac. grasos|DETE|-1|*|215|Titulo de ac. grasos|20
58|53|Ind. Refracc. en Aminas|DETE|-1|*|400|Ind. Refracc. en Aminas|21
59|54|Ind. Refracc. en Aminas|DETE|-1|*|400|Ind. Refracc. en Aminas|22
60|55|Ind. Refraccion a 20 C|DETE|-1|*|419|Ind. Refraccion a 20 C|23
61|56|Carbonato de sodio(PASA303)|DETE|-1|*|405|Carbonato de sodio(PASA303)|24
62|57|Insolubles en agua.(PASA224)|DETE|-1|*|406|Insolubles en agua.(PASA224)|24
63|58|Calcio en ClK|DETE|-1|*|409|Calcio en ClK|25
64|59|Cloruro de K. Pureza.(PASA084)|DETE|-1|*|407|Cloruro de K. Pureza.(PASA084)|25
65|60|Humedad y mat. volatil.(PASA202)|DETE|-1|*|408|Humedad y mat. volatil.(PASA202)|25
66|61|Insolubles en agua.(PASA224)|DETE|-1|*|406|Insolubles en agua.(PASA224)|25
67|62|Magnesio en ClK|DETE|-1|*|410|Magnesio en ClK|25
68|63|Cloruro de sodio. Pureza|DETE|-1|*|411|Cloruro de sodio. Pureza|26
69|64|Dureza en cloruro de sodio.|DETE|-1|*|412|Dureza en cloruro de sodio.|26
70|65|Densidad.(PASA128)|DETE|-1|*|401|Densidad.(PASA128)|27
71|66|Ind. Refracc. en coagulante|DETE|-1|*|413|Ind. Refracc. en coagulante|27
72|67|pH soluc. 20 g/L emuls.(PASA408)|DETE|-1|*|418|pH soluc. 20 g/L emuls.(PASA408)|28
73|68|Poder dispersante|DETE|-1|*|416|Poder dispersante|28
74|69|Solidos en emulsionante|DETE|-1|*|417|Solidos en emulsionante|28
75|70|Color ASTM D1500|DETE|-1|*|205|Color ASTM D1500|29
76|71|Densidad.(PASA128)|DETE|-1|*|401|Densidad.(PASA128)|29
77|72|Mat. activa en dispersante|DETE|-1|*|414|Mat. activa en dispersante|30
78|73|pH al 10%  p/v de sol.(PASA407)|DETE|-1|*|415|pH al 10%  p/v de sol.(PASA407)|30
79|74|Densidad.(PASA128)|DETE|-1|*|401|Densidad.(PASA128)|31
80|75|Visc. Brookfield|DETE|-1|*|433|Visc. Brookfield|31
81|76|Solidos (100-105 C).ID3411|DETE|-1|*|228|Solidos (100-105 C).ID3411|32
82|77|pH met. general.(ID3599)|DETE|-1|*|25|pH met. general.(ID3599)|32
83|78|Metabisulfito de sodio. Pureza|DETE|-1|*|423|Metabisulfito de sodio. Pureza|33
