id|code|description|typeCode|type
2005|1,1 Dicloroetano ( Prov.Ext.)|1,1 Dicloroetano ( Prov.Ext.)|DETE|Determinación
921|1,1 Dicloroeteno ( Prov.Ext.)|1,1 Dicloroeteno ( Prov.Ext.)|DETE|Determinación
916|1,2 Dicloro Benceno (Prov.Ext.)|1,2 Dicloro Benceno (Prov.Ext.)|DETE|Determinación
923|1,2 Dicloroetano ( Prov.Ext.)|1,2 Dicloroetano ( Prov.Ext.)|DETE|Determinación
2006|1,2 Dicloroeteno ( Prov.Ext.)|1,2 Dicloroeteno ( Prov.Ext.)|DETE|Determinación
1731|1,2 Tricloroetano ( Prov.Ext.)|1,2 Tricloroetano ( Prov.Ext.)|DETE|Determinación
1798|110 1,3-Butadieno (%v/v) RGA|1,3-Butadieno (%v/v) RGA|DETE|Determinación
917|1,4 Dicloro Benceno (Prov.Ext.)|1,4 Dicloro Benceno (Prov.Ext.)|DETE|Determinación
191|171-2 butadieno (ID3657)|1-2 butadieno (ID3657)|DETE|Determinación
1609|1-Hidroxipireno|1-Hidroxipireno en orina (MET008)|DETE|Determinación
1775|1-Metil-Naftaleno GCMS ppm p/v|1-Metil-Naftaleno GCMS ppm p/v|DETE|Determinación
239|2 Nitro-p-Cresol|2 Nitro-p-Cresol|DETE|Determinación
1808|0182,2-DMC4 (D7833)|2,2-DMC4 (D7833)|DETE|Determinación
912|2,4 D (Prov.Ext.)|2,4 D (Prov.Ext.)|DETE|Determinación
919|2,4,6 Triclorofenol ( Prov.Ext.)|2,4,6 Triclorofenol ( Prov.Ext.)|DETE|Determinación
1472|2,5 hexanodiona (mg/lt)|2,5 hexanodiona (mg/lt)|DETE|Determinación
1127|2,5-Hexanodiona|2,5-Hexanodiona|DETE|Determinación
238|2,6 Dinitro-p-Cresol|2,6 Dinitro-p-Cresol|DETE|Determinación
1776|2-Metil-Naftaleno GCMS ppm p/v|2-Metil-Naftaleno GCMS ppm p/v|DETE|Determinación
1310|3-PENTENO-1-INO (D6729)|3-PENTENO-1-INO (D6729)%p/p|DETE|Determinación
1439|ABOSRBANCIA EN EL ULTRAVIOLETA|ABOSRBANCIA EN EL ULTRAVIOLETA|DETE|Determinación
213|Ac. estearico por GLC|Ac. estearico por GLC|DETE|Determinación
214|Ac. oleico por GLC|Ac. oleico por GLC|DETE|Determinación
113|Aceite en caucho SBR|Aceite en caucho SBR|DETE|Determinación
1586|Acetileno % v/v  (RGA)|Acetileno % v/v  (RGA)|DETE|Determinación
478|09Acetileno %.(PASA907)|Acetileno %.(PASA907)|DETE|Determinación
1745|Acetileno (% p/p)|Acetileno (% p/p)|DETE|Determinación
1783|180Acetileno (%v/v) RGA|Acetileno (%v/v) RGA|DETE|Determinación
50|13Acetileno (ID3657)|Acetileno (ID3657)|DETE|Determinación
11|Acetileno en butadieno|Acetileno en butadieno|DETE|Determinación
935|13Acetileno ppm p/p (ID3657)|Acetileno ppm (ID3657)|DETE|Determinación
1360|13Acetileno ppm v/v(ID3657)|Acetileno ppm v/v(ID3657)|DETE|Determinación
1575|Acetona %p/p (PASA560)|Acetona %p/p (PASA560)|DETE|Determinación
186|Acidez como ac. acetico|Acidez como ac. acetico|DETE|Determinación
87|Acidez en HC aromaticos|Acidez en HC aromaticos|DETE|Determinación
1475|Acidez Mineral Libre (PASA915)|Acidez Mineral Libre (PASA915)ppmCO3Ca|DETE|Determinación
229|Acidez residual|Acidez residual|DETE|Determinación
1170|Acidez Total (ASTM D3242)|Acidez Total (ASTM D3242)|DETE|Determinación
444|Acidez.(PASA435)|Acidez.(PASA435)|DETE|Determinación
1875|Acido Abietico|Acido Abietico % p/p|DETE|Determinación
1123|Acido Fenilglioxilico|Acido Fenilglioxilico|DETE|Determinación
1125|Acido Hipurico|Acido Hipurico|DETE|Determinación
1124|Acido Mandelico|Acido Mandelico|DETE|Determinación
1126|Acido Metilhipurico|Acido Metilhipurico|DETE|Determinación
19|Acido org. en caucho SBR|Acido org. en caucho SBR|DETE|Determinación
398|Acido sulfurico|Acido sulfurico|DETE|Determinación
1565|Acido t,t-muconico|Acido t,t-muconico|DETE|Determinación
1724|Acido Tricloroacetico mg/g Creat|Acido Tricloroacetico mg/g Creat|DETE|Determinación
1725|Acido Tricloroacetico mg/l|Acido Tricloroacetico mg/l|DETE|Determinación
1342|005Acrilonitrilo (ID3534)|Acrilonitrilo (ID3534)|DETE|Determinación
752|05Acrilonitrilo (ID3591)|ACRILONITRILO (ID3591)|DETE|Determinación
1485|Acrilonitrilo (ppm p/p)|Acrilonitrilo (ppm p/p)|DETE|Determinación
999|Acrilonitrilo en estireno|Acrilonitrilo en estireno|DETE|Determinación
128|Acrilonitrilo lig. en latex|Acrilonitrilo lig. en latex|DETE|Determinación
112|Acrilonitrilo lig. en NBR|Acrilonitrilo lig. en NBR|DETE|Determinación
1863|Acrilonitrilo ppm v/v -Seguridad|Acrilonitrilo ppm v/v -Seguridad|DETE|Determinación
1637|Acrilonitrilo ppm v/v|Acrilonitrilo ppm v/v PE-7E-0186 Croma Portatil|DETE|Determinación
127|Acrilonitrilo residual en latex|Acrilonitrilo residual en latex|DETE|Determinación
387|Acrilonitrilo(PASA022)|Acrilonitrilo(PASA022)|DETE|Determinación
292|010Acrilonitrilo. Medic. bateria|Acrilonitrilo. Medic. de bateria|DETE|Determinación
285|010Acrilonitrilo. Medic. planta|Acrilonitrilo. Medic. en planta|DETE|Determinación
606|010Acrilonitrilo Medicion (STEL)|Acrilonitrilo. Medicion (STEL)|DETE|Determinación
608|010Acrilonitrilo. Medicion (TWA)|Acrilonitrilo. Medicion (TWA)|DETE|Determinación
307|Acrinitrilo ppm v/v|Acrinitrilo ppm v/v|DETE|Determinación
1319|Adhesion a substrato rigido|Adhesion a substrato rigido (ASTM D429)|DETE|Determinación
1395|20Agua % v/v (ASTM D95)|Agua % v/v (ASTM D95)|DETE|Determinación
1407|20Agua (%v/v)|Agua (%v/v)|DETE|Determinación
1668|Agua (ppm v/v) Externo|Agua (ppm v/v) Externo|DETE|Determinación
873|Agua en solv. % p/p (ID3539)|Agua en solv. % p/p (ID3539)|DETE|Determinación
34|Agua en solv.(ID3539)|Agua en solv.(ID3539)|DETE|Determinación
175|Agua en solv.(ID3586)|Agua en solv.(ID3586)|DETE|Determinación
248|Agua libre|Agua libre|DETE|Determinación
454|Agua por Ind.refraccion|Agua por Ind.refraccion|DETE|Determinación
1184|Agua y Sedimentos -ASTM D95/D473|Agua y Sedimentos -ASTM D95/D473|DETE|Determinación
443|Agua.(PASA028)|Agua.(PASA028)|DETE|Determinación
1860|201Aire (%v/v) RGA|Aire (%v/v) RGA|DETE|Determinación
448|Alcalinidad como K2O|Alcalinidad como K2O|DETE|Determinación
763|Alcalinidad Libre (Na2CO3)|Alcalinidad Libre (Na2CO3)|DETE|Determinación
237|Alcalinidad Libre(NaOH)|Alcalinidad Libre(NaOH)|DETE|Determinación
808|Alcalinidad M.(AP-59)|Alcalinidad M.(AP-59)|DETE|Determinación
819|Alcalinidad OH|Alcalinidad OH|DETE|Determinación
820|Alcalinidad P.(AP-59)|Alcalinidad P.(AP-59)|DETE|Determinación
1268|Alcalinidad Total (Prov.Ext.)|Alcalinidad Total (Prov.Ext.)|DETE|Determinación
60|Aldehidos como benzaldehidos|Aldehidos como benzaldehidos|DETE|Determinación
905|Aldrin+Dieldrin (Prov.Ext.)|Aldrin+Dieldrin (Prov.Ext.)|DETE|Determinación
140|23Alfa metil sty Analisis cr.|Alfa metil sty Analisis cr.|DETE|Determinación
63|Alfa-metil sty (ASTMD5135)|Alfa-metil sty (ASTMD5135)|DETE|Determinación
716|Alt int.lat pleg 93/95øheb p/fle|Alt int.lat pleg 93/95øheb p/fle|DETE|Determinación
1045|Alto|Alto|DETE|Determinación
1139|Altura interior de un extremo|Altura interior de un extremo|DETE|Determinación
1140|Altura interior del otro extremo|Altura interior del otro extremo|DETE|Determinación
674|Altura Letras Nombre|Altura Letras Nombre|DETE|Determinación
895|Aluminio (Prov.Ext.)|Aluminio (Prov.Ext.)|DETE|Determinación
1188|Aluminio + Silicio (PASA883/884)|Aluminio + Silicio (PASA883/884)|DETE|Determinación
1135|Aluminio por AA (PASA883)|Aluminio por AA (PASA883)|DETE|Determinación
1103|AMINAS TOTALES|AMINAS TOTALES|DETE|Determinación
1576|Amoniaco % p/v|Amoniaco % p/v|DETE|Determinación
2027|Amoniaco ( Prov.Ext.)|Amoniaco ( Prov.Ext.)|DETE|Determinación
853|Amoniaco (EFLW-038)|Amoniaco (EFLW-038)|DETE|Determinación
1592|Amoniaco elec. selec. N-NH3|Amoniaco electrodo selectivo N-NH3 (EFLW-071)|DETE|Determinación
2003|Amoniaco en aire mcg/m3 -Externo|Amoniaco en aire ug/m3 (Externo)|DETE|Determinación
264|Amoniaco en sulfato ferroso|Amoniaco en sulfato ferroso|DETE|Determinación
1600|Amoniaco ppm v/v|Amoniaco ppm v/v (Amoniaco. Emisiones fug.) EFLA-021|DETE|Determinación
1727|Amoniaco. Medicion (STEL)|Amoniaco. Medicion (STEL)|DETE|Determinación
1726|Amoniaco. Medicion (TWA)|Amoniaco. Medicion (TWA)|DETE|Determinación
1911|Amoniaco. Mediciones de bateria|Amoniaco. Mediciones de bateria|DETE|Determinación
1286|Amonio (Prov.Ext.)|Amonio (Prov.Ext.)|DETE|Determinación
1156|Analisis organoleptico|Analisis organoleptico|DETE|Determinación
1044|Ancho|Ancho|DETE|Determinación
675|Ancho Letras Nombre|Ancho Letras Nombre|DETE|Determinación
1138|Ancho Total en hebilla antes ple|Ancho Total en hebilla antes plegado|DETE|Determinación
707|Ancho valv.bolsa poli R1913|Ancho valv.bolsa poli R1913|DETE|Determinación
432|Anhidrido carbonico|Anhidrido carbonico|DETE|Determinación
1176|Antiestatico|Antiestatico|DETE|Determinación
2007|Antimonio ( Prov.Ext.)|Antimonio ( Prov.Ext.)|DETE|Determinación
124|Antiox. Irganox. (PASA423)|Antiox. Irganox. (PASA423)|DETE|Determinación
123|Antiox. TNPP. (ID3624)|Antiox. TNPP. (ID3624)|DETE|Determinación
1177|Antioxidante|Antioxidante|DETE|Determinación
1302|12Antraceno (EFLW-001)|Antraceno (EFLW-001)|DETE|Determinación
1383|Aomatico C9 (D6729) %wt|Aomatico C9 (D6729) %wt|DETE|Determinación
57|Apariencia|Apariencia|DETE|Determinación
2033|Apariencia sedimento|Apariencia sedimento|DETE|Determinación
850|API|API|DETE|Determinación
232|Area superficial|Area superficial|DETE|Determinación
1384|Arom C9 (D6729) %WT|Arom C9 (D6729) %WT|DETE|Determinación
468|19Arom. C10.(ID3591)|Arom. C10.(ID3591)|DETE|Determinación
1649|040Arom. C8 %p/p (UOP744)|Arom. C8 %p/p (UOP744)|DETE|Determinación
1661|030Arom. C8 %p/p (UOP920)|Arom. C8 %p/p (UOP920)|DETE|Determinación
872|18Arom. C8 .(ID3591)|Arom. C8 .(ID3591)|DETE|Determinación
177|10Arom. C8.(ID3591)|Arom. C8.(ID3591)|DETE|Determinación
383|07Arom. C8.(PASA906)|Arom. C8.(PASA906)|DETE|Determinación
1650|050Arom. C9 %p/p (UOP744)|Arom. C9 %p/p (UOP744)|DETE|Determinación
1662|040Arom. C9 %p/p (UOP920)|Arom. C9 %p/p (UOP920)|DETE|Determinación
144|19Arom. C9 .(ID3591)|Arom. C9 .(ID3591)|DETE|Determinación
133|15Arom. C9 .(ID3591)|Arom. C9 .(ID3591)|DETE|Determinación
384|09Arom. C9 .(PASA906)|Arom. C9 .(PASA906)|DETE|Determinación
863|Arom. C9 .ppm(ID3591)|Arom. C9 .ppm(ID3591)|DETE|Determinación
178|11Arom. C9.(ID3591)|Arom. C9.(ID3591)|DETE|Determinación
1916|Aromaticos % p/p (D6563)|Aromaticos % p/p (D6563)|DETE|Determinación
1917|Aromaticos % p/p (D7504)|Aromaticos % p/p (D7504)|DETE|Determinación
1074|860Aromaticos % p/p.(D6729)|Aromaticos % p/p.(D6729)|DETE|Determinación
889|Aromaticos % v/v.(D6729)|Aromaticos % v/v.(D6729)|DETE|Determinación
1173|Aromaticos -ASTM D1319|Aromaticos -ASTM D1319|DETE|Determinación
1952|054AROMATICOS C10 D6729 (%p/p)|AROMATICOS C10 D6729 (%p/p)|DETE|Determinación
792|270Aromaticos C10. (D6729)|Aromaticos C10. (D6729)|DETE|Determinación
1953|056AROMATICOS C11 D6729 (%p/p)|AROMATICOS C11 D6729 (%p/p)|DETE|Determinación
1954|058AROMATICOS C12 D6729 (%p/p)|AROMATICOS C12 D6729 (%p/p)|DETE|Determinación
1354|Aromaticos C8 p/HS (PASA 760)|Aromaticos C8 p/HS (PASA 760)|DETE|Determinación
1951|052AROMATICOS C9 D6729 (%p/p)|AROMATICOS C9 D6729 (%p/p)|DETE|Determinación
791|260Aromaticos C9. (D6729)|Aromaticos C9. (D6729)|DETE|Determinación
1696|05Aromaticos D6729 (%p/p)|Aromaticos D6729 (%p/p)|DETE|Determinación
1695|05Aromaticos D6729 (%v/v)|Aromaticos D6729 (%v/v)|DETE|Determinación
1573|Aromaticos en Aceite (PASA172)|Aromaticos en Aceite (PASA172)%p/p|DETE|Determinación
100|005Aromaticos tot.(ID3644)|Aromaticos tot.(ID3644)|DETE|Determinación
81|860Aromaticos.%v/v(D6729)|Aromaticos.%v/v(D6729)|DETE|Determinación
349|13Aromaticos.(ID3591)|Aromaticos.(ID3591)|DETE|Determinación
316|Arsenico (ID3524)|Arsenico (ID3524)|DETE|Determinación
1330|Arsenico (ppb)|Arsenico (ppb)|DETE|Determinación
