id|code|description|departmentId|type
200|TERM. LINEA|TERM. LINEA|5|
201|REACT. FINAL|REACT. FINAL|4|
202|LAVADOR CAUST.ARPOL|LAVADOR CAUST.ARPOL|4|
203|LAVADOR AGUA|LAVADOR AGUA|4|
208|STY RECICLO|STY RECICLO|7|
209|BUTADIENO RECICLO|BUTADIENO RECICLO|7|
230|PTA. LINEA XIL.|PTA. LINEA XIL.|49|
231|C.P. XILENO|C.P. XILENO|44|
235|BENCENO, TK 529|BENCENO, TK 529|44|
236|C.P. TOLUENO|C.P. TOLUENO|44|
237|PTA. LINEA TOL.|PTA. LINEA TOL.|49|
270|FILTRO SAL MUERA|FILTRO SAL MUERA|56|
271|PIL. TRAT. DE SAL MUERA|PIL. TRAT. DE SAL MUERA|56|
276|SOL.ACTIVADOR|SOL.ACTIVADOR|5|
277|SOL.SHORSTOP|SOL.SHORSTOP|5|
278|ANTIOX. MEZCLA|ANTIOX. MEZCLA|5|
281|POTASA DIL.|POTASA DIL.|4|
282|TK. BTD|TK. BTD|6|
286|REACT. ARNIPOL|REACT. ARNIPOL|6|
287|TORRE DESPOJ. NBR|TORRE DESPOJ. NBR|6|
293|SOL.DE ACTIVADOR|SOL.DE ACTIVADOR|6|
294|SOL.DE SHORSTOP|SOL.DE SHORSTOP|6|
299|CIMA PREFRACC.|CIMA PREFRACC.|41|
300|CIMA SPLITTER 0|CIMA SPLITTER 0|41|
301|CIMA DESBUTA.REFORMA|CIMA DESBUTA.REFORMA|41|
302|CIMA DESETA|CIMA DESETA|41|
303|CIMA TORRE ESTABIL.|CIMA TORRE ESTABIL.|41|
304|REFINADO|REFINADO|42|
305|EXTRACTO|EXTRACTO|42|
306|CIMA DESPOJ.SOLVENTE|CIMA DESPOJ.SOLVENTE|42|
307|TORRE BZ|TORRE BZ|43|
308|CIMA T. TOLUENO|CIMA T. TOLUENO|43|
309|CARGA HDA|CARGA HDA|43|
310|FDO.ESTABIL. A 300|FDO.ESTABIL. A 300|43|
